ensembl_id,gene_chr,start,end,strand,gene_name,gene_type,gene_biotype,biotype_other,biotype_lnc_rna,biotype_protein_coding,biotype_antisense,ld_loci_id
ENSG00000183396,3,48620759,48621855,-,TMEM89,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000225697,3,48625723,48635493,-,SLC26A6,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000008300,3,48636469,48662915,-,CELSR3,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000228350,3,48663776,48669174,+,CELSR3-AS1,antisense,antisense,0,0,0,1,chr3_334
ENSG00000213672,3,48673844,48686364,-,NCKIPSD,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000068745,3,48688003,48740353,-,IP6K2,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000114302,3,48744597,48847846,-,PRKAR2A,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000224424,3,48847572,48851981,+,PRKAR2A-AS1,antisense,antisense,0,0,0,1,chr3_334
ENSG00000178537,3,48856931,48898993,-,SLC25A20,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000177479,3,48918821,48986382,+,ARIH2,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000223343,3,48985049,48989988,-,RP13-131K19.2,antisense,antisense,0,0,0,1,chr3_334
ENSG00000178467,3,48989886,49007154,+,P4HTM,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000178252,3,49007062,49015953,+,WDR6,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000178149,3,49015488,49022293,-,DALRD3,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000178035,3,49024325,49029408,-,IMPDH2,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000198218,3,49029707,49094363,-,QRICH1,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000172053,3,49095932,49105101,-,QARS,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000172046,3,49108046,49120938,-,USP19,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000270441,3,49140086,49160851,-,RP11-694I15.7,unprocessed_pseudogene,other,1,0,0,0,chr3_334
ENSG00000177352,3,49162535,49166321,-,CCDC71,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000185909,3,49171611,49176486,+,KLHDC8B,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000236980,3,49177632,49191858,-,C3orf84,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000173421,3,49198428,49258104,+,CCDC36,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000225399,3,49260085,49261316,+,RP11-3B7.1,lincRNA,lnc_rna,0,1,0,0,chr3_334
ENSG00000188315,3,49268602,49277909,-,C3orf62,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000114316,3,49277831,49340712,-,USP4,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000233276,3,49357176,49358600,-,GPX1,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000067560,3,49359145,49412998,-,RHOA,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000145022,3,49412206,49416475,+,TCTA,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000145020,3,49416778,49422753,-,AMT,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000145029,3,49422946,49429326,-,NICN1,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000235261,3,49422946,49424431,+,RP11-949J7.5,antisense,antisense,0,0,0,1,chr3_334
ENSG00000173402,3,49468703,49535618,+,DAG1,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000226913,3,49549306,49554366,-,BSN-AS2,lincRNA,lnc_rna,0,1,0,0,chr3_334
ENSG00000164061,3,49554489,49671545,+,BSN,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000235120,3,49640483,49641769,-,BSN-AS1,antisense,antisense,0,0,0,1,chr3_334
ENSG00000164062,3,49674002,49683963,+,APEH,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000173540,3,49716844,49723951,-,GMPPB,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000187492,3,49790732,49799835,-,CDHR4,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000182179,3,49805207,49813946,-,UBA7,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000183763,3,49828599,49856574,-,TRAIP,protein_coding,protein_coding,0,0,1,0,chr3_334
ENSG00000068001,3,50317790,50322906,-,HYAL2,protein_coding,protein_coding,0,0,1,0,chr3_339
ENSG00000114383,3,50320027,50328251,-,TUSC2,protein_coding,protein_coding,0,0,1,0,chr3_339
ENSG00000114388,3,50347330,50351091,-,NPRL2,protein_coding,protein_coding,0,0,1,0,chr3_339
ENSG00000242849,3,52193170,52194785,+,ALDOAP1,processed_pseudogene,other,1,0,0,0,chr3_351
ENSG00000023330,3,52198086,52214327,+,ALAS1,protein_coding,protein_coding,0,0,1,0,chr3_351
ENSG00000280003,3,52217016,52219012,-,RP11-330H6.6,TEC,other,1,0,0,0,chr3_351
ENSG00000239732,3,52221080,52226163,-,TLR9,protein_coding,protein_coding,0,0,1,0,chr3_351
ENSG00000173366,3,52221081,52231190,-,TLR9,protein_coding,protein_coding,0,0,1,0,chr3_351
ENSG00000243224,3,52239258,52241097,+,RP5-1157M23.2,antisense,antisense,0,0,0,1,chr3_351
ENSG00000168237,3,52287089,52293476,+,GLYCTK,protein_coding,protein_coding,0,0,1,0,chr3_351
ENSG00000010327,3,52495338,52524495,+,STAB1,protein_coding,protein_coding,0,0,1,0,chr3_351
ENSG00000168268,3,52524385,52535054,-,NT5DC2,protein_coding,protein_coding,0,0,1,0,chr3_351
ENSG00000168273,3,52534013,52579237,+,SMIM4,protein_coding,protein_coding,0,0,1,0,chr3_351
ENSG00000163939,3,52545352,52685917,-,PBRM1,protein_coding,protein_coding,0,0,1,0,chr3_351
ENSG00000163938,3,52681156,52694492,+,GNL3,protein_coding,protein_coding,0,0,1,0,chr3_351
ENSG00000016864,3,52694485,52706083,-,GLT8D1,protein_coding,protein_coding,0,0,1,0,chr3_351
ENSG00000114902,3,52704955,52711146,+,SPCS1,protein_coding,protein_coding,0,0,1,0,chr3_351
ENSG00000114904,3,52708449,52770949,-,NEK4,protein_coding,protein_coding,0,0,1,0,chr3_351
ENSG00000275956,3,52732547,52733867,+,RP5-966M1.7,processed_pseudogene,other,1,0,0,0,chr3_351
ENSG00000271137,3,52753526,52754690,+,RP5-966M1.4,processed_pseudogene,other,1,0,0,0,chr3_351
ENSG00000055957,3,52777592,52792068,+,ITIH1,protein_coding,protein_coding,0,0,1,0,chr3_351
ENSG00000162267,3,52794768,52809009,+,ITIH3,protein_coding,protein_coding,0,0,1,0,chr3_351
ENSG00000055955,3,52812975,52831479,-,ITIH4,protein_coding,protein_coding,0,0,1,0,chr3_351
ENSG00000243696,3,52813282,52835729,-,RP5-966M1.6,protein_coding,protein_coding,0,0,1,0,chr3_351
ENSG00000272573,3,52833114,52835219,-,MUSTN1,protein_coding,protein_coding,0,0,1,0,chr3_351
ENSG00000248592,3,52833121,52897562,-,TMEM110-MUSTN1,protein_coding,protein_coding,0,0,1,0,chr3_351
ENSG00000213533,3,52836219,52897596,-,TMEM110,protein_coding,protein_coding,0,0,1,0,chr3_351
ENSG00000275789,3,52846463,52846552,-,MIR8064,miRNA,other,1,0,0,0,chr3_351
ENSG00000163935,3,52903572,53046750,-,SFMBT1,protein_coding,protein_coding,0,0,1,0,chr3_351
ENSG00000272305,3,52969119,53099453,-,RP11-894J14.5,protein_coding,protein_coding,0,0,1,0,chr3_351
ENSG00000242142,3,53064283,53065091,-,SERBP1P3,processed_pseudogene,other,1,0,0,0,chr3_351
ENSG00000242120,3,70196894,70312726,-,RP11-231I13.2,antisense,antisense,0,0,0,1,chr3_441
ENSG00000114861,3,70954693,71583989,-,FOXP1,protein_coding,protein_coding,0,0,1,0,chr3_445
ENSG00000277855,3,71581721,71628558,+,RP11-154H23.4,antisense,antisense,0,0,0,1,chr3_447
ENSG00000242828,3,80761042,80788963,-,RP11-47P18.1,lincRNA,lnc_rna,0,1,0,0,chr3_492
ENSG00000242781,3,80764897,80789354,+,RP11-47P18.2,lincRNA,lnc_rna,0,1,0,0,chr3_492
ENSG00000243694,3,80993868,81095647,+,RP11-6B4.1,lincRNA,lnc_rna,0,1,0,0,chr3_492
ENSG00000196353,3,131533555,132285410,-,CPNE4,protein_coding,protein_coding,0,0,1,0,chr3_763
ENSG00000174891,3,158105855,158545730,+,RSRC1,protein_coding,protein_coding,0,0,1,0,chr3_944
ENSG00000241723,3,158275809,158276421,-,RP11-113A11.1,processed_pseudogene,other,1,0,0,0,chr3_944
ENSG00000243314,3,158496561,158496934,+,RP11-538P18.1,processed_pseudogene,other,1,0,0,0,chr3_944
ENSG00000243150,3,158545220,158571066,-,RP11-538P18.2,antisense,antisense,0,0,0,1,chr3_944
ENSG00000063978,4,2462220,2625320,+,RNF4,protein_coding,protein_coding,0,0,1,0,chr4_26
ENSG00000251229,4,2505081,2506279,-,RP11-503N18.5,processed_pseudogene,other,1,0,0,0,chr4_26
ENSG00000125386,4,2625261,2732565,+,FAM193A,protein_coding,protein_coding,0,0,1,0,chr4_26
ENSG00000168884,4,2741648,2756376,-,TNIP2,protein_coding,protein_coding,0,0,1,0,chr4_26
ENSG00000245870,4,41876481,41882611,-,LINC00682,lincRNA,lnc_rna,0,1,0,0,chr4_273
ENSG00000249771,4,41883060,41894579,-,RP11-457P14.5,lincRNA,lnc_rna,0,1,0,0,chr4_273
ENSG00000182308,4,41981696,41986467,+,DCAF4L1,protein_coding,protein_coding,0,0,1,0,chr4_273
ENSG00000014824,4,41990472,42090457,+,SLC30A9,protein_coding,protein_coding,0,0,1,0,chr4_273
ENSG00000249212,4,42029209,42030123,+,ATP1B1P1,unprocessed_pseudogene,other,1,0,0,0,chr4_273
ENSG00000188848,4,42110938,42152878,-,BEND4,protein_coding,protein_coding,0,0,1,0,chr4_273
ENSG00000109323,4,102631488,102760994,-,MANBA,protein_coding,protein_coding,0,0,1,0,chr4_621
ENSG00000230069,4,102727274,102730721,-,LRRC37A15P,processed_pseudogene,other,1,0,0,0,chr4_621
ENSG00000248971,4,102728746,102730171,-,KRT8P46,processed_pseudogene,other,1,0,0,0,chr4_621
ENSG00000109332,4,102794383,102868896,-,UBE2D3,protein_coding,protein_coding,0,0,1,0,chr4_621
ENSG00000246560,4,102828055,102844075,+,RP11-10L12.4,antisense,antisense,0,0,0,1,chr4_621
ENSG00000145354,4,102868978,102889242,+,CISD2,protein_coding,protein_coding,0,0,1,0,chr4_621
ENSG00000164037,4,102885048,103019739,-,SLC9B1,protein_coding,protein_coding,0,0,1,0,chr4_621
ENSG00000250651,4,102896725,102898237,+,PABPC1P7,processed_pseudogene,other,1,0,0,0,chr4_621
ENSG00000164038,4,103019868,103085829,-,SLC9B2,protein_coding,protein_coding,0,0,1,0,chr4_621
ENSG00000168772,4,104468312,104494901,-,CXXC4,protein_coding,protein_coding,0,0,1,0,chr4_629
ENSG00000245384,4,104490965,104697592,+,AC004053.1,antisense,antisense,0,0,0,1,chr4_630
ENSG00000250670,4,104556960,104568877,+,AC004063.1,lincRNA,lnc_rna,0,1,0,0,chr4_630
ENSG00000248242,4,104653874,104966793,-,RP11-556I14.2,lincRNA,lnc_rna,0,1,0,0,chr4_630
ENSG00000270265,4,151333775,151353224,-,RP11-731D1.4,lincRNA,lnc_rna,0,1,0,0,chr4_907
ENSG00000251611,4,151407551,151408835,-,RP11-610P16.1,lincRNA,lnc_rna,0,1,0,0,chr4_907
ENSG00000164142,4,151409216,151663632,+,FAM160A1,protein_coding,protein_coding,0,0,1,0,chr4_907
ENSG00000251603,4,151667224,151670502,+,RP11-164P12.4,antisense,antisense,0,0,0,1,chr4_907
ENSG00000278978,4,151669786,151670503,+,RP11-164P12.5,TEC,other,1,0,0,0,chr4_907
ENSG00000059691,4,151670504,151761023,-,GATB,protein_coding,protein_coding,0,0,1,0,chr4_907
ENSG00000251455,4,151674483,151677893,+,RP11-164P12.3,antisense,antisense,0,0,0,1,chr4_907
ENSG00000249184,4,151799500,151801348,+,RP11-424M21.1,lincRNA,lnc_rna,0,1,0,0,chr4_907
ENSG00000169862,5,10971840,11904043,-,CTNND2,protein_coding,protein_coding,0,0,1,0,chr5_129
ENSG00000248131,5,12574857,12804363,+,LINC01194,lincRNA,lnc_rna,0,1,0,0,chr5_132
ENSG00000130449,5,61332273,61546170,+,ZSWIM6,protein_coding,protein_coding,0,0,1,0,chr5_398
ENSG00000251682,5,61347126,61347716,+,RP11-631M6.3,processed_pseudogene,other,1,0,0,0,chr5_398
ENSG00000245556,5,78342365,78360507,-,SCAMP1-AS1,lincRNA,lnc_rna,0,1,0,0,chr5_503
ENSG00000085365,5,78360583,78479071,+,SCAMP1,protein_coding,protein_coding,0,0,1,0,chr5_503
ENSG00000164180,5,88189633,88269476,-,TMEM161B,protein_coding,protein_coding,0,0,1,0,chr5_567
ENSG00000247828,5,88268895,88436685,+,TMEM161B-AS1,antisense,antisense,0,0,0,1,chr5_567
ENSG00000240083,5,88381957,88382725,+,RPS3AP22,processed_pseudogene,other,1,0,0,0,chr5_567
ENSG00000206958,5,88382772,88382907,+,SNORA70,snoRNA,other,1,0,0,0,chr5_567
ENSG00000250306,5,88382948,88383260,+,CTC-498M16.3,processed_pseudogene,other,1,0,0,0,chr5_567
ENSG00000250156,5,88408982,88439090,-,CTC-498M16.2,lincRNA,lnc_rna,0,1,0,0,chr5_567
ENSG00000271904,5,88433892,88498697,-,CTC-498M16.4,lincRNA,lnc_rna,0,1,0,0,chr5_567
ENSG00000245526,5,88507546,88691041,-,LINC00461,lincRNA,lnc_rna,0,1,0,0,chr5_568
ENSG00000248588,5,92826255,92844004,+,CTC-458G6.4,lincRNA,lnc_rna,0,1,0,0,chr5_588
ENSG00000251574,5,104383298,105392970,-,RP11-6N13.1,lincRNA,lnc_rna,0,1,0,0,chr5_652
ENSG00000253584,5,104917492,105246364,-,CTD-2374C24.1,lincRNA,lnc_rna,0,1,0,0,chr5_652
ENSG00000080709,5,114360945,114496640,+,KCNN2,protein_coding,protein_coding,0,0,1,0,chr5_698
ENSG00000246316,5,114488997,114668410,-,RP11-492A10.1,antisense,antisense,0,0,0,1,chr5_699
ENSG00000251542,5,114576041,114579970,+,CTC-313D10.1,lincRNA,lnc_rna,0,1,0,0,chr5_699
ENSG00000156475,5,146581146,147084784,-,PPP2R2B,protein_coding,protein_coding,0,0,1,0,chr5_925
ENSG00000249553,5,146914207,146919506,-,PPP2R2B-IT1,sense_intronic,lnc_rna,0,1,0,0,chr5_925
ENSG00000164574,5,154190730,154420984,+,GALNT10,protein_coding,protein_coding,0,0,1,0,chr5_981
ENSG00000253119,5,154337471,154338452,-,HNRNPA3P7,processed_pseudogene,other,1,0,0,0,chr5_981
ENSG00000145864,5,161288429,161549044,-,GABRB2,protein_coding,protein_coding,0,0,1,0,chr5_1036
ENSG00000124788,6,16299112,16761491,-,ATXN1,protein_coding,protein_coding,0,0,1,0,chr6_159
ENSG00000272065,6,25990761,25991226,+,U91328.20,lincRNA,lnc_rna,0,1,0,0,chr6_235
ENSG00000124610,6,26017085,26017732,-,HIST1H1A,protein_coding,protein_coding,0,0,1,0,chr6_235
ENSG00000278463,6,26033176,26033568,-,HIST1H2AB,protein_coding,protein_coding,0,0,1,0,chr6_235
ENSG00000276410,6,26043277,26043657,-,HIST1H2BB,protein_coding,protein_coding,0,0,1,0,chr6_235
ENSG00000234816,6,26043989,26044357,+,U91328.2,unprocessed_pseudogene,other,1,0,0,0,chr6_234
ENSG00000278272,6,26045411,26045821,+,HIST1H3C,protein_coding,protein_coding,0,0,1,0,chr6_234
ENSG00000187837,6,26055787,26056428,-,HIST1H1C,protein_coding,protein_coding,0,0,1,0,chr6_234
ENSG00000010704,6,26087281,26098343,+,HFE,protein_coding,protein_coding,0,0,1,0,chr6_235
ENSG00000187475,6,26107419,26108136,-,HIST1H1T,protein_coding,protein_coding,0,0,1,0,chr6_235
ENSG00000180596,6,26114873,26123926,-,HIST1H2BC,protein_coding,protein_coding,0,0,1,0,chr6_235
ENSG00000180573,6,26124145,26139116,+,HIST1H2AC,protein_coding,protein_coding,0,0,1,0,chr6_235
ENSG00000218281,6,26233122,26233255,+,HIST1H2APS3,processed_pseudogene,other,1,0,0,0,chr6_239
ENSG00000275663,6,26246681,26246977,-,HIST1H4G,protein_coding,protein_coding,0,0,1,0,chr6_240
ENSG00000273983,6,26269405,26271815,-,HIST1H3G,protein_coding,protein_coding,0,0,1,0,chr6_240
ENSG00000218690,6,26272193,26272540,-,HIST1H2APS4,processed_pseudogene,other,1,0,0,0,chr6_241
ENSG00000158406,6,26285113,26285509,-,HIST1H4H,protein_coding,protein_coding,0,0,1,0,chr6_240
ENSG00000204644,6,29672392,29681110,-,ZFP57,protein_coding,protein_coding,0,0,1,0,chr6_271
ENSG00000204642,6,29722775,29738528,+,HLA-F,protein_coding,protein_coding,0,0,1,0,chr6_271
ENSG00000225864,6,29722981,29723971,-,HCG4P11,unprocessed_pseudogene,other,1,0,0,0,chr6_271
ENSG00000214922,6,29726601,29749049,-,HLA-F-AS1,processed_transcript,lnc_rna,0,1,0,0,chr6_271
ENSG00000239257,6,29726669,29727139,-,RPL23AP1,transcribed_processed_pseudogene,other,1,0,0,0,chr6_271
ENSG00000176998,6,29791753,29792750,-,HCG4,unprocessed_pseudogene,other,1,0,0,0,chr6_271
ENSG00000230795,6,29926459,29929232,+,HLA-K,unprocessed_pseudogene,other,1,0,0,0,chr6_271
ENSG00000206503,6,29941260,29945884,+,HLA-A,protein_coding,protein_coding,0,0,1,0,chr6_271
ENSG00000204623,6,30001011,30061640,-,ZNRD1-AS1,antisense,antisense,0,0,0,1,chr6_271
ENSG00000237669,6,30006121,30007116,-,HCG4P3,unprocessed_pseudogene,other,1,0,0,0,chr6_271
ENSG00000204622,6,30006583,30009956,+,HLA-J,transcribed_unprocessed_pseudogene,other,1,0,0,0,chr6_271
ENSG00000224389,6,32014762,32035418,+,C4B,protein_coding,protein_coding,0,0,1,0,chr6_304
ENSG00000008196,6,50818723,50847613,+,TFAP2B,protein_coding,protein_coding,0,0,1,0,chr6_483
ENSG00000216913,6,50897615,50898225,-,RP4-753D5.3,processed_pseudogene,other,1,0,0,0,chr6_483
ENSG00000230204,6,50912712,50913256,-,FTH1P5,processed_pseudogene,other,1,0,0,0,chr6_483
ENSG00000135333,6,93240020,93419547,-,EPHA7,protein_coding,protein_coding,0,0,1,0,chr6_703
ENSG00000271860,6,97816709,98399872,+,RP11-436D23.1,lincRNA,lnc_rna,0,1,0,0,chr6_723
ENSG00000236920,6,98210020,98214683,-,RP11-111D3.2,lincRNA,lnc_rna,0,1,0,0,chr6_723
ENSG00000236708,7,3264032,3302452,-,AC073316.1,antisense,antisense,0,0,0,1,chr7_44
ENSG00000146555,7,3301448,4269000,+,SDK1,protein_coding,protein_coding,0,0,1,0,chr7_44
ENSG00000183166,7,71779491,72447151,-,CALN1,protein_coding,protein_coding,0,0,1,0,chr7_502
ENSG00000228769,7,72103181,72104209,+,ABCF2P2,unprocessed_pseudogene,other,1,0,0,0,chr7_502
ENSG00000237513,7,104941063,104962334,+,RP11-325F22.2,lincRNA,lnc_rna,0,1,0,0,chr7_713
ENSG00000228393,7,104950315,105013044,-,LINC01004,antisense,antisense,0,0,0,1,chr7_713
ENSG00000005483,7,105014179,105114361,+,KMT2E,protein_coding,protein_coding,0,0,1,0,chr7_713
ENSG00000272918,7,105102838,105105483,-,CTB-152G17.6,antisense,antisense,0,0,0,1,chr7_713
ENSG00000135250,7,105110704,105399308,-,SRPK2,protein_coding,protein_coding,0,0,1,0,chr7_713
ENSG00000271482,7,105204600,105204859,+,CTB-152G17.4,processed_pseudogene,other,1,0,0,0,chr7_713
ENSG00000128604,7,128937612,128950035,+,IRF5,protein_coding,protein_coding,0,0,1,0,chr7_851
ENSG00000064419,7,128954180,129055144,-,TNPO3,protein_coding,protein_coding,0,0,1,0,chr7_851
ENSG00000244556,7,129028889,129030527,+,ODCP,processed_pseudogene,other,1,0,0,0,chr7_851
ENSG00000221866,7,132123332,132648688,-,PLXNA4,protein_coding,protein_coding,0,0,1,0,chr7_894
ENSG00000223436,7,132352334,132367976,+,AC011625.1,antisense,antisense,0,0,0,1,chr7_894
ENSG00000131558,7,133253073,134066589,+,EXOC4,protein_coding,protein_coding,0,0,1,0,chr7_900
ENSG00000249188,8,8154308,8216916,+,ENPP7P1,unprocessed_pseudogene,other,1,0,0,0,chr8_81
ENSG00000253893,8,8167819,8226614,-,FAM85B,antisense,antisense,0,0,0,1,chr8_81
ENSG00000173295,8,8228595,8244865,+,FAM86B3P,transcribed_unprocessed_pseudogene,other,1,0,0,0,chr8_81
ENSG00000253981,8,8236003,8244667,-,ALG1L13P,transcribed_unprocessed_pseudogene,other,1,0,0,0,chr8_81
ENSG00000254153,8,8456909,8461337,-,CTA-398F10.2,lincRNA,lnc_rna,0,1,0,0,chr8_81
ENSG00000254367,8,8723693,8782479,-,RP11-211C9.1,lincRNA,lnc_rna,0,1,0,0,chr8_81
ENSG00000147324,8,8783354,8893645,-,MFHAS1,protein_coding,protein_coding,0,0,1,0,chr8_81
ENSG00000233609,8,8961200,8979025,+,RP11-62H7.2,transcribed_processed_pseudogene,other,1,0,0,0,chr8_81
ENSG00000104626,8,9002147,9116746,+,ERI1,protein_coding,protein_coding,0,0,1,0,chr8_81
ENSG00000254091,8,9233013,9233449,+,RP11-10A14.8,processed_pseudogene,other,1,0,0,0,chr8_81
ENSG00000260093,8,10050485,10054254,-,RP11-1E4.1,antisense,antisense,0,0,0,1,chr8_81
ENSG00000175806,8,10054268,10428891,+,MSRA,protein_coding,protein_coding,0,0,1,0,chr8_81
ENSG00000261451,8,10433672,10438312,+,RP11-981G7.1,sense_overlapping,lnc_rna,0,1,0,0,chr8_83
ENSG00000253641,8,10474565,10481974,+,RP11-981G7.2,lincRNA,lnc_rna,0,1,0,0,chr8_83
ENSG00000207128,8,10476223,10476329,+,RNU6-729P,snRNA,other,1,0,0,0,chr8_83
ENSG00000253678,8,10477491,10479375,-,RP11-981G7.3,lincRNA,lnc_rna,0,1,0,0,chr8_83
