ensembl_id,gene_chr,start,end,strand,gene_name,gene_type,gene_biotype,biotype_other,biotype_lnc_rna,biotype_protein_coding,biotype_antisense,locus_type,ld_locus_id
ENSG00000177479,3,48918821,48986382,+,ARIH2,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
ENSG00000223343,3,48985049,48989988,-,RP13-131K19.2,antisense,antisense,0,0,0,1,locus,chr3_8
ENSG00000178467,3,48989886,49007154,+,P4HTM,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
ENSG00000178252,3,49007062,49015953,+,WDR6,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
ENSG00000178149,3,49015488,49022293,-,DALRD3,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
ENSG00000178035,3,49024325,49029408,-,IMPDH2,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
ENSG00000198218,3,49029707,49094363,-,QRICH1,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
ENSG00000172053,3,49095932,49105101,-,QARS,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
ENSG00000172046,3,49108046,49120938,-,USP19,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
ENSG00000172037,3,49121114,49133118,-,LAMB2,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
ENSG00000270441,3,49140086,49160851,-,RP11-694I15.7,unprocessed_pseudogene,other,1,0,0,0,locus,chr3_8
ENSG00000177352,3,49162535,49166321,-,CCDC71,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
ENSG00000185909,3,49171611,49176486,+,KLHDC8B,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
ENSG00000236980,3,49177632,49191858,-,C3orf84,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
ENSG00000173421,3,49198428,49258104,+,CCDC36,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
ENSG00000225399,3,49260085,49261316,+,RP11-3B7.1,lincRNA,lnc_rna,0,1,0,0,locus,chr3_8
ENSG00000188315,3,49268602,49277909,-,C3orf62,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
ENSG00000114316,3,49277831,49340712,-,USP4,protein_coding,protein_coding,0,0,1,0,locus,chr3_8
ENSG00000233276,3,49357176,49358600,-,GPX1,protein_coding,protein_coding,0,0,1,0,locus,chr3_19
ENSG00000067560,3,49359145,49412998,-,RHOA,protein_coding,protein_coding,0,0,1,0,locus,chr3_19
ENSG00000145022,3,49412206,49416475,+,TCTA,protein_coding,protein_coding,0,0,1,0,locus,chr3_19
ENSG00000145020,3,49416778,49422753,-,AMT,protein_coding,protein_coding,0,0,1,0,locus,chr3_19
ENSG00000145029,3,49422946,49429326,-,NICN1,protein_coding,protein_coding,0,0,1,0,locus,chr3_19
ENSG00000235261,3,49422946,49424431,+,RP11-949J7.5,antisense,antisense,0,0,0,1,locus,chr3_8
ENSG00000173402,3,49468703,49535618,+,DAG1,protein_coding,protein_coding,0,0,1,0,locus,chr3_19
ENSG00000226913,3,49549306,49554366,-,BSN-AS2,lincRNA,lnc_rna,0,1,0,0,locus,chr3_19
ENSG00000164061,3,49554489,49671545,+,BSN,protein_coding,protein_coding,0,0,1,0,locus,chr3_19
ENSG00000235120,3,49640483,49641769,-,BSN-AS1,antisense,antisense,0,0,0,1,locus,chr3_19
ENSG00000164062,3,49674002,49683963,+,APEH,protein_coding,protein_coding,0,0,1,0,locus,chr3_19
ENSG00000173531,3,49683947,49689501,-,MST1,protein_coding,protein_coding,0,0,1,0,locus,chr3_19
ENSG00000164068,3,49689499,49721529,+,RNF123,protein_coding,protein_coding,0,0,1,0,locus,chr3_19
ENSG00000176020,3,49716834,49719695,-,AMIGO3,protein_coding,protein_coding,0,0,1,0,locus,chr3_19
ENSG00000173540,3,49716844,49723951,-,GMPPB,protein_coding,protein_coding,0,0,1,0,locus,chr3_19
ENSG00000176095,3,49724294,49786542,-,IP6K1,protein_coding,protein_coding,0,0,1,0,locus,chr3_19
ENSG00000244730,3,49775285,49775614,+,RP13-1056D16.2,processed_pseudogene,other,1,0,0,0,locus,chr3_19
ENSG00000187492,3,49790732,49799835,-,CDHR4,protein_coding,protein_coding,0,0,1,0,locus,chr3_19
ENSG00000182179,3,49805207,49813946,-,UBA7,protein_coding,protein_coding,0,0,1,0,locus,chr3_19
ENSG00000183763,3,49828599,49856574,-,TRAIP,protein_coding,protein_coding,0,0,1,0,locus,chr3_19
ENSG00000114383,3,50320027,50328251,-,TUSC2,protein_coding,protein_coding,0,0,1,0,locus,chr3_127
ENSG00000114388,3,50347330,50351091,-,NPRL2,protein_coding,protein_coding,0,0,1,0,locus,chr3_127
ENSG00000010327,3,52495338,52524495,+,STAB1,protein_coding,protein_coding,0,0,1,0,locus,chr3_5
ENSG00000168268,3,52524385,52535054,-,NT5DC2,protein_coding,protein_coding,0,0,1,0,locus,chr3_5
ENSG00000168273,3,52534013,52579237,+,SMIM4,protein_coding,protein_coding,0,0,1,0,locus,chr3_5
ENSG00000163939,3,52545352,52685917,-,PBRM1,protein_coding,protein_coding,0,0,1,0,locus,chr3_5
ENSG00000163938,3,52681156,52694492,+,GNL3,protein_coding,protein_coding,0,0,1,0,locus,chr3_5
ENSG00000016864,3,52694485,52706083,-,GLT8D1,protein_coding,protein_coding,0,0,1,0,locus,chr3_5
ENSG00000114902,3,52704955,52711146,+,SPCS1,protein_coding,protein_coding,0,0,1,0,locus,chr3_5
ENSG00000114904,3,52708449,52770949,-,NEK4,protein_coding,protein_coding,0,0,1,0,locus,chr3_5
ENSG00000275956,3,52732547,52733867,+,RP5-966M1.7,processed_pseudogene,other,1,0,0,0,locus,chr3_5
ENSG00000271137,3,52753526,52754690,+,RP5-966M1.4,processed_pseudogene,other,1,0,0,0,locus,chr3_5
ENSG00000055957,3,52777592,52792068,+,ITIH1,protein_coding,protein_coding,0,0,1,0,locus,chr3_5
ENSG00000162267,3,52794768,52809009,+,ITIH3,protein_coding,protein_coding,0,0,1,0,locus,chr3_5
ENSG00000055955,3,52812975,52831479,-,ITIH4,protein_coding,protein_coding,0,0,1,0,locus,chr3_1
ENSG00000243696,3,52813282,52835729,-,RP5-966M1.6,protein_coding,protein_coding,0,0,1,0,locus,chr3_1
ENSG00000272573,3,52833114,52835219,-,MUSTN1,protein_coding,protein_coding,0,0,1,0,locus,chr3_1
ENSG00000248592,3,52833121,52897562,-,TMEM110-MUSTN1,protein_coding,protein_coding,0,0,1,0,locus,chr3_1
ENSG00000213533,3,52836219,52897596,-,TMEM110,protein_coding,protein_coding,0,0,1,0,locus,chr3_1
ENSG00000275789,3,52846463,52846552,-,MIR8064,miRNA,other,1,0,0,0,locus,chr3_1
ENSG00000163935,3,52903572,53046750,-,SFMBT1,protein_coding,protein_coding,0,0,1,0,locus,chr3_1
ENSG00000272305,3,52969119,53099453,-,RP11-894J14.5,protein_coding,protein_coding,0,0,1,0,locus,chr3_1
ENSG00000280417,3,53046166,53048122,+,RP11-5O17.1,TEC,other,1,0,0,0,locus,chr3_1
ENSG00000242142,3,53064283,53065091,-,SERBP1P3,processed_pseudogene,other,1,0,0,0,locus,chr3_1
ENSG00000163933,3,53088483,53130462,-,RFT1,protein_coding,protein_coding,0,0,1,0,locus,chr3_1
ENSG00000242120,3,70196894,70312726,-,RP11-231I13.2,antisense,antisense,0,0,0,1,gene,chr3_664
ENSG00000114861,3,70954693,71583989,-,FOXP1,protein_coding,protein_coding,0,0,1,0,gene,chr3_666
ENSG00000277855,3,71581721,71628558,+,RP11-154H23.4,antisense,antisense,0,0,0,1,gene,chr3_671
ENSG00000242222,3,135925891,135926167,+,RP11-237P21.1,processed_pseudogene,other,1,0,0,0,locus,chr3_66
ENSG00000241905,3,135959275,135959590,-,RP11-305O4.1,processed_pseudogene,other,1,0,0,0,locus,chr3_66
ENSG00000073711,3,135965673,136147891,+,PPP2R3A,protein_coding,protein_coding,0,0,1,0,locus,chr3_66
ENSG00000227267,3,136055184,136055764,+,RP11-305O4.2,processed_pseudogene,other,1,0,0,0,locus,chr3_66
ENSG00000174891,3,158105855,158545730,+,RSRC1,protein_coding,protein_coding,0,0,1,0,locus,chr3_101
ENSG00000241723,3,158275809,158276421,-,RP11-113A11.1,processed_pseudogene,other,1,0,0,0,locus,chr3_101
ENSG00000243314,3,158496561,158496934,+,RP11-538P18.1,processed_pseudogene,other,1,0,0,0,locus,chr3_101
ENSG00000243150,3,158545220,158571066,-,RP11-538P18.2,antisense,antisense,0,0,0,1,locus,chr3_101
ENSG00000063978,4,2462220,2625320,+,RNF4,protein_coding,protein_coding,0,0,1,0,locus,chr4_91
ENSG00000125386,4,2625261,2732565,+,FAM193A,protein_coding,protein_coding,0,0,1,0,locus,chr4_91
ENSG00000168884,4,2741648,2756376,-,TNIP2,protein_coding,protein_coding,0,0,1,0,locus,chr4_91
ENSG00000109323,4,102631488,102760994,-,MANBA,protein_coding,protein_coding,0,0,1,0,gene,chr4_862
ENSG00000109332,4,102794383,102868896,-,UBE2D3,protein_coding,protein_coding,0,0,1,0,locus,chr4_1
ENSG00000246560,4,102828055,102844075,+,RP11-10L12.4,antisense,antisense,0,0,0,1,locus,chr4_1
ENSG00000145354,4,102868978,102889242,+,CISD2,protein_coding,protein_coding,0,0,1,0,locus,chr4_1
ENSG00000164037,4,102885048,103019739,-,SLC9B1,protein_coding,protein_coding,0,0,1,0,locus,chr4_1
ENSG00000250651,4,102896725,102898237,+,PABPC1P7,processed_pseudogene,other,1,0,0,0,locus,chr4_1
ENSG00000164038,4,103019868,103085829,-,SLC9B2,protein_coding,protein_coding,0,0,1,0,locus,chr4_1
ENSG00000168772,4,104468312,104494901,-,CXXC4,protein_coding,protein_coding,0,0,1,0,gene,chr4_871
ENSG00000245384,4,104490965,104697592,+,AC004053.1,antisense,antisense,0,0,0,1,locus,chr4_99
ENSG00000250670,4,104556960,104568877,+,AC004063.1,lincRNA,lnc_rna,0,1,0,0,locus,chr4_99
ENSG00000248242,4,104653874,104966793,-,RP11-556I14.2,lincRNA,lnc_rna,0,1,0,0,locus,chr4_99
ENSG00000270265,4,151333775,151353224,-,RP11-731D1.4,lincRNA,lnc_rna,0,1,0,0,locus,chr4_61
ENSG00000251611,4,151407551,151408835,-,RP11-610P16.1,lincRNA,lnc_rna,0,1,0,0,locus,chr4_61
ENSG00000164142,4,151409216,151663632,+,FAM160A1,protein_coding,protein_coding,0,0,1,0,locus,chr4_61
ENSG00000251603,4,151667224,151670502,+,RP11-164P12.4,antisense,antisense,0,0,0,1,locus,chr4_61
ENSG00000278978,4,151669786,151670503,+,RP11-164P12.5,TEC,other,1,0,0,0,locus,chr4_61
ENSG00000059691,4,151670504,151761023,-,GATB,protein_coding,protein_coding,0,0,1,0,locus,chr4_61
ENSG00000251455,4,151674483,151677893,+,RP11-164P12.3,antisense,antisense,0,0,0,1,locus,chr4_61
ENSG00000249184,4,151799500,151801348,+,RP11-424M21.1,lincRNA,lnc_rna,0,1,0,0,locus,chr4_61
ENSG00000169862,5,10971840,11904043,-,CTNND2,protein_coding,protein_coding,0,0,1,0,gene,chr5_326
ENSG00000130449,5,61332273,61546170,+,ZSWIM6,protein_coding,protein_coding,0,0,1,0,gene,chr5_633
ENSG00000164180,5,88189633,88269476,-,TMEM161B,protein_coding,protein_coding,0,0,1,0,locus,chr5_42
ENSG00000247828,5,88268895,88436685,+,TMEM161B-AS1,antisense,antisense,0,0,0,1,locus,chr5_42
ENSG00000240083,5,88381957,88382725,+,RPS3AP22,processed_pseudogene,other,1,0,0,0,locus,chr5_42
ENSG00000250306,5,88382948,88383260,+,CTC-498M16.3,processed_pseudogene,other,1,0,0,0,locus,chr5_42
ENSG00000250156,5,88408982,88439090,-,CTC-498M16.2,lincRNA,lnc_rna,0,1,0,0,locus,chr5_42
ENSG00000271904,5,88433892,88498697,-,CTC-498M16.4,lincRNA,lnc_rna,0,1,0,0,locus,chr5_42
ENSG00000245526,5,88507546,88691041,-,LINC00461,lincRNA,lnc_rna,0,1,0,0,gene,chr5_826
ENSG00000248588,5,92826255,92844004,+,CTC-458G6.4,lincRNA,lnc_rna,0,1,0,0,gene,chr5_851
ENSG00000251574,5,104383298,105392970,-,RP11-6N13.1,lincRNA,lnc_rna,0,1,0,0,locus,chr5_171
ENSG00000253584,5,104917492,105246364,-,CTD-2374C24.1,lincRNA,lnc_rna,0,1,0,0,locus,chr5_171
ENSG00000080709,5,114360945,114496640,+,KCNN2,protein_coding,protein_coding,0,0,1,0,gene,chr5_994
ENSG00000246316,5,114488997,114668410,-,RP11-492A10.1,antisense,antisense,0,0,0,1,gene,chr5_995
ENSG00000251542,5,114576041,114579970,+,CTC-313D10.1,lincRNA,lnc_rna,0,1,0,0,gene,chr5_996
ENSG00000156475,5,146581146,147084784,-,PPP2R2B,protein_coding,protein_coding,0,0,1,0,locus,chr5_109
ENSG00000249553,5,146914207,146919506,-,PPP2R2B-IT1,sense_intronic,lnc_rna,0,1,0,0,locus,chr5_109
ENSG00000164574,5,154190730,154420984,+,GALNT10,protein_coding,protein_coding,0,0,1,0,locus,chr5_204
ENSG00000253119,5,154337471,154338452,-,HNRNPA3P7,processed_pseudogene,other,1,0,0,0,locus,chr5_204
ENSG00000145864,5,161288429,161549044,-,GABRB2,protein_coding,protein_coding,0,0,1,0,gene,chr5_1351
ENSG00000124788,6,16299112,16761491,-,ATXN1,protein_coding,protein_coding,0,0,1,0,gene,chr6_345
ENSG00000272810,6,26013241,26013757,+,U91328.22,lincRNA,lnc_rna,0,1,0,0,locus,chr6_134
ENSG00000124610,6,26017085,26017732,-,HIST1H1A,protein_coding,protein_coding,0,0,1,0,locus,chr6_134
ENSG00000278463,6,26033176,26033568,-,HIST1H2AB,protein_coding,protein_coding,0,0,1,0,locus,chr6_134
ENSG00000278272,6,26045411,26045821,+,HIST1H3C,protein_coding,protein_coding,0,0,1,0,locus,chr6_134
ENSG00000187837,6,26055787,26056428,-,HIST1H1C,protein_coding,protein_coding,0,0,1,0,locus,chr6_134
ENSG00000010704,6,26087281,26098343,+,HFE,protein_coding,protein_coding,0,0,1,0,locus,chr6_134
ENSG00000197061,6,26103876,26104310,+,HIST1H4C,protein_coding,protein_coding,0,0,1,0,locus,chr6_134
ENSG00000187475,6,26107419,26108136,-,HIST1H1T,protein_coding,protein_coding,0,0,1,0,locus,chr6_134
ENSG00000180596,6,26114873,26123926,-,HIST1H2BC,protein_coding,protein_coding,0,0,1,0,locus,chr6_134
ENSG00000180573,6,26124145,26139116,+,HIST1H2AC,protein_coding,protein_coding,0,0,1,0,locus,chr6_134
ENSG00000274290,6,26183795,26184180,+,HIST1H2BE,protein_coding,protein_coding,0,0,1,0,locus,chr6_126
ENSG00000218281,6,26233122,26233255,+,HIST1H2APS3,processed_pseudogene,other,1,0,0,0,locus,chr6_126
ENSG00000218690,6,26272193,26272540,-,HIST1H2APS4,processed_pseudogene,other,1,0,0,0,gene,chr6_424
ENSG00000158406,6,26285113,26285509,-,HIST1H4H,protein_coding,protein_coding,0,0,1,0,gene,chr6_425
ENSG00000204789,6,27357825,27360221,-,ZNF204P,processed_pseudogene,other,1,0,0,0,gene,chr6_441
ENSG00000204642,6,29722775,29738528,+,HLA-F,protein_coding,protein_coding,0,0,1,0,locus,chr6_1
ENSG00000225864,6,29722981,29723971,-,HCG4P11,unprocessed_pseudogene,other,1,0,0,0,locus,chr6_1
ENSG00000214922,6,29726601,29749049,-,HLA-F-AS1,processed_transcript,lnc_rna,0,1,0,0,locus,chr6_1
ENSG00000239257,6,29726669,29727139,-,RPL23AP1,transcribed_processed_pseudogene,other,1,0,0,0,locus,chr6_1
ENSG00000204632,6,29826967,29831125,+,HLA-G,protein_coding,protein_coding,0,0,1,0,locus,chr6_1
ENSG00000231130,6,29896654,29897786,+,HLA-T,unprocessed_pseudogene,other,1,0,0,0,locus,chr6_1
ENSG00000227262,6,29925983,29926973,-,HCG4B,unprocessed_pseudogene,other,1,0,0,0,gene,chr6_460
ENSG00000206503,6,29941260,29945884,+,HLA-A,protein_coding,protein_coding,0,0,1,0,locus,chr6_1
ENSG00000227766,6,29942075,29943067,-,HCG4P5,unprocessed_pseudogene,other,1,0,0,0,locus,chr6_1
ENSG00000235290,6,29956596,29958570,+,HLA-W,unprocessed_pseudogene,other,1,0,0,0,locus,chr6_1
ENSG00000204623,6,30001011,30061640,-,ZNRD1-AS1,antisense,antisense,0,0,0,1,locus,chr6_1
ENSG00000008196,6,50818723,50847613,+,TFAP2B,protein_coding,protein_coding,0,0,1,0,gene,chr6_681
ENSG00000135333,6,93240020,93419547,-,EPHA7,protein_coding,protein_coding,0,0,1,0,gene,chr6_959
ENSG00000172461,6,96015984,96215612,+,FUT9,protein_coding,protein_coding,0,0,1,0,gene,chr6_968
ENSG00000271860,6,97816709,98399872,+,RP11-436D23.1,lincRNA,lnc_rna,0,1,0,0,gene,chr6_984
ENSG00000236920,6,98210020,98214683,-,RP11-111D3.2,lincRNA,lnc_rna,0,1,0,0,gene,chr6_986
ENSG00000236708,7,3264032,3302452,-,AC073316.1,antisense,antisense,0,0,0,1,locus,chr7_169
ENSG00000146555,7,3301448,4269000,+,SDK1,protein_coding,protein_coding,0,0,1,0,locus,chr7_169
ENSG00000105928,7,24698353,24758113,-,DFNA5,protein_coding,protein_coding,0,0,1,0,gene,chr7_367
ENSG00000183166,7,71779491,72447151,-,CALN1,protein_coding,protein_coding,0,0,1,0,locus,chr7_167
ENSG00000228769,7,72103181,72104209,+,ABCF2P2,unprocessed_pseudogene,other,1,0,0,0,locus,chr7_167
ENSG00000237513,7,104941063,104962334,+,RP11-325F22.2,lincRNA,lnc_rna,0,1,0,0,locus,chr7_49
ENSG00000228393,7,104950315,105013044,-,LINC01004,antisense,antisense,0,0,0,1,locus,chr7_49
ENSG00000005483,7,105014179,105114361,+,KMT2E,protein_coding,protein_coding,0,0,1,0,locus,chr7_49
ENSG00000272918,7,105102838,105105483,-,CTB-152G17.6,antisense,antisense,0,0,0,1,locus,chr7_49
ENSG00000135250,7,105110704,105399308,-,SRPK2,protein_coding,protein_coding,0,0,1,0,locus,chr7_49
ENSG00000271482,7,105204600,105204859,+,CTB-152G17.4,processed_pseudogene,other,1,0,0,0,locus,chr7_49
ENSG00000221866,7,132123332,132648688,-,PLXNA4,protein_coding,protein_coding,0,0,1,0,gene,chr7_1291
ENSG00000131558,7,133253073,134066589,+,EXOC4,protein_coding,protein_coding,0,0,1,0,gene,chr7_1300
ENSG00000173295,8,8228595,8244865,+,FAM86B3P,transcribed_unprocessed_pseudogene,other,1,0,0,0,locus,chr8_47
ENSG00000253981,8,8236003,8244667,-,ALG1L13P,transcribed_unprocessed_pseudogene,other,1,0,0,0,locus,chr8_47
ENSG00000254367,8,8723693,8782479,-,RP11-211C9.1,lincRNA,lnc_rna,0,1,0,0,locus,chr8_70
ENSG00000147324,8,8783354,8893645,-,MFHAS1,protein_coding,protein_coding,0,0,1,0,locus,chr8_70
ENSG00000233609,8,8961200,8979025,+,RP11-62H7.2,transcribed_processed_pseudogene,other,1,0,0,0,gene,chr8_198
ENSG00000104626,8,9002147,9116746,+,ERI1,protein_coding,protein_coding,0,0,1,0,gene,chr8_200
ENSG00000254091,8,9233013,9233449,+,RP11-10A14.8,processed_pseudogene,other,1,0,0,0,locus,chr8_47
ENSG00000175806,8,10054268,10428891,+,MSRA,protein_coding,protein_coding,0,0,1,0,gene,chr8_217
ENSG00000183638,8,10606349,10712187,-,RP1L1,protein_coding,protein_coding,0,0,1,0,gene,chr8_227
ENSG00000171056,8,10723768,10730512,-,SOX7,protein_coding,protein_coding,0,0,1,0,locus,chr8_49
ENSG00000258724,8,10725399,10839847,-,SOX7,protein_coding,protein_coding,0,0,1,0,locus,chr8_49
ENSG00000248896,8,10729314,10771392,+,CTD-2135J3.3,antisense,antisense,0,0,0,1,locus,chr8_49
ENSG00000254093,8,10764963,10839884,-,PINX1,protein_coding,protein_coding,0,0,1,0,locus,chr8_49
ENSG00000253695,8,10840576,10846501,+,RP11-177H2.2,antisense,antisense,0,0,0,1,locus,chr8_49
ENSG00000171044,8,10896045,11201366,-,XKR6,protein_coding,protein_coding,0,0,1,0,locus,chr8_47
ENSG00000254839,8,11062647,11067089,-,AF131215.6,lincRNA,lnc_rna,0,1,0,0,locus,chr8_47
ENSG00000269918,8,11104691,11106704,-,AF131215.9,sense_intronic,lnc_rna,0,1,0,0,locus,chr8_47
ENSG00000255310,8,11107788,11109726,-,AF131215.2,sense_intronic,lnc_rna,0,1,0,0,locus,chr8_47
ENSG00000254936,8,11123381,11126064,-,AF131215.3,sense_intronic,lnc_rna,0,1,0,0,locus,chr8_47
ENSG00000270076,8,11202965,11203671,+,AF131215.8,lincRNA,lnc_rna,0,1,0,0,locus,chr8_47
ENSG00000236827,8,11247626,11267865,-,LINC00529,lincRNA,lnc_rna,0,1,0,0,locus,chr8_47
ENSG00000239315,8,11256020,11256602,+,RPL19P13,processed_pseudogene,other,1,0,0,0,locus,chr8_47
ENSG00000249316,8,11281364,11282501,-,CTC-493P15.2,unprocessed_pseudogene,other,1,0,0,0,locus,chr8_47
ENSG00000104643,8,11284416,11328146,+,MTMR9,protein_coding,protein_coding,0,0,1,0,locus,chr8_47
ENSG00000246477,8,11315859,11325429,-,AF131216.6,antisense,antisense,0,0,0,1,locus,chr8_47
ENSG00000177710,8,11330888,11332208,+,SLC35G5,protein_coding,protein_coding,0,0,1,0,locus,chr8_47
ENSG00000154316,8,11339637,11368452,+,TDH,unitary_pseudogene,other,1,0,0,0,locus,chr8_47
ENSG00000255020,8,11345748,11347502,-,AF131216.5,antisense,antisense,0,0,0,1,locus,chr8_47
